Count	Words
2		afraid that
2		again Alice
2		again The
2		again as
2		again but
2		again in
2		again said
2		again to
2		air and
2		all a
2		all and
2		all at
2		all came
2		all day
2		all directions
2		all he
2		all looked
2		all made
2		all of
2		all she
2		all talking
2		all their
2		all these
2		all three
2		almost wish
2		aloud I
2		always ready
2		among them
2		an angry
2		an arm
2		an atom
2		an encouraging
2		an excellent
2		an explanation
2		an hour
2		an opportunity
2		an undertone
2		and Alice's
2		and I've
2		and Morcar
2		and Northumbria
2		and added
2		and an
2		and at
2		and being
2		and bread
2		and broke
2		and by
2		and called
2		and came
2		and dishes
2		and even
2		and every
2		and everybody
2		and feet
2		and four
2		and growing
2		and half
2		and handed
2		and held
2		and his
2		and hurried
2		and join
2		and left
2		and most
2		and now
2		and on
2		and once
2		and read
2		and repeat
2		and say
2		and shoes
2		and shouting
2		and shut
2		and so
2		and stupid
2		and take
2		and taking
2		and those
2		and thought
2		and two
2		and up
2		and vanished
2		and walking
2		and we
2		and were
2		and whiskers
2		and wondering
2		animals and
2		another minute
2		answer so
2		answer to
2		anxiously about
2		anxiously at
2		anxiously into
2		anxiously round
2		any longer
2		any of
2		anything but
2		anything more
2		anything that
2		anything to
2		appeared and
2		are YOU
2		are all
2		are gone
2		are not
2		are said
2		are they
2		arm that
2		arm with
2		arms and
2		arms folded
2		as all
2		as before
2		as ever
2		as herself
2		as large
2		as pigs
2		as that
2		as we
2		as yet
2		ashamed of
2		asked the
2		asking riddles
2		asleep again
2		at a
2		at everything
2		at home
2		at me
2		atom of
2		attending to
2		away from
2		away the
2		away without
2		baby was
2		back into
2		be Mabel
2		be afraid
2		be an
2		be ashamed
2		be getting
2		be hungry
2		be lost
2		be of
2		be off
2		be otherwise
2		be quite
2		be raving
2		be seen
2		be two
2		beat him
2		beautiful garden
2		because I'm
2		because he
2		because the
2		because they
2		been a
2		been looking
2		been the
2		before but
2		before said
2		began Alice
2		began by
2		began running
2		began talking
2		began thinking
2		behind her
2		behind him
2		believe it
2		believe there's
2		belongs to
2		best way
2		better not
2		better now
2		birds and
2		bit said
2		blasts on
2		blew three
2		both sides
2		bottle was
2		bowed and
2		bowed low
2		box and
2		bright idea
2		brightened up
2		business the
2		but a
2		but after
2		but her
2		but if
2		but it's
2		but there
2		but very
2		but when
2		but you
2		butter and
2		by a
2		by her
2		by it
2		call him
2		call it
2		called after
2		called him
2		came different
2		came in
2		came into
2		came the
2		came to
2		came up
2		can be
2		can do
2		can you
2		can't be
2		can't explain
2		can't take
2		can't think
2		candle is
2		capital of
2		capital one
2		care of
2		cares for
2		carried it
2		case with
2		catch a
2		catching mice
2		cats if
2		caught the
2		cautiously replied
2		certainly too
2		certainly was
2		change but
2		change to
2		changed for
2		checked herself
2		cheered and
2		child but
2		child said
2		children and
2		children she
2		chorus of
2		civil of
2		close by
2		come and
2		coming to
2		conclusion that
2		considered a
2		continued as
2		continued in
2		conversation Alice
2		cook and
2		cook was
2		cool fountains
2		could and
2		could do
2		could get
2		could go
2		could have
2		could only
2		could remember
2		could think
2		couldn't have
2		course I
2		course it
2		course not
2		court was
2		cried out
2		croquet The
2		croquet ground
2		croquet with
2		cross examine
2		cry again
2		curious dream
2		curious thing
2		curious to
2		cut off
2		dance Would
2		dare to
2		day I
2		day and
2		day of
2		day said
2		day to
2		deal frightened
2		deal to
2		deal too
2		dear cried
2		dear said
2		deep voice
2		deeply and
2		delighted to
2		deny it
2		did the
2		difficulty was
2		distance and
2		do I'll
2		do and
2		do that
2		do wish
2		do with
2		does it
2		don't even
2		don't give
2		done that
2		door of
2		door so
2		doth the
2		down I
2		down all
2		down but
2		down down
2		down from
2		down her
2		down into
2		down stairs
2		down upon
2		draw the
2		dreadfully puzzled
2		dry again
2		each other
2		each side
2		ear and
2		earls of
2		ears and
2		easily offended
2		easy to
2		eat a
2		edge of
2		editions continued
2		either you
2		enough of
2		even if
2		even know
2		evening beautiful
2		ever having
2		ever see
2		ever was
2		everything is
2		evidence said
2		except a
2		except the
2		explain the
2		eye fell
2		face in
2		fact I
2		fancy that
2		fancy to
2		far off
2		fear of
2		feet I
2		feet at
2		feet for
2		feet in
2		felt sure
2		fetch it
2		figure said
2		filled with
2		find her
2		find herself
2		find it
2		fine day
2		first and
2		first but
2		first figure
2		first question
2		first thing
2		first to
2		first was
2		first witness
2		flamingo and
2		flamingoes and
2		flowers and
2		followed him
2		follows The
2		footman in
2		for any
2		for apples
2		for asking
2		for bringing
2		for catching
2		for eggs
2		for having
2		for said
2		for such
2		for them
2		for two
2		for your
2		forgotten that
2		found her
2		found out
2		found she
2		four hours
2		from a
2		from being
2		from him
2		from this
2		front of
2		fun said
2		funny it'll
2		game of
2		game the
2		game was
2		gardeners instantly
